NEIGHBOURHOOD,NB_LOCATION,AVG_PRIX_LOCATION,AVG_PRIX_PERSONNE,MEDIAN_PRIX_LOCATION,ECART_TYPE_PRIX_LOCATION,Q1_PRIX_LOCATION,Q3_PRIX_LOCATION,ECART_INTER_QUARTILE_LOCATION,MIN_PRIX_LOCATION,MAX_PRIX_LOCATION,ETENTUE_PRIX_LOCATION,PCT_ENTIRE_HOME
IJburg - Zeeburgereiland,85,256.8,67.16,208,173.23,156,290,134,71,1040,969,77.65
Oostelijk Havengebied - Indische Buurt,191,222.75,80.39,200,100.87,155,264,109,57,665,608,82.72
De Baarsjes - Oud-West,847,267.68,99.91,240,137.91,180,315,135,56,1561,1505,85.36
Bijlmer-Oost,15,173.4,47.53,147,79.05,110,268,158,75,319,244,86.67
Bos en Lommer,225,207.26,76.77,186,96.33,144,255,111,63,598,535,88.00
Noord-Oost,105,199.35,54.67,177,149.74,102,250,148,60,1287,1227,76.19
Slotervaart,79,195.06,68.86,187,100.17,126,252,126,58,500,442,74.68
Centrum-West,579,319.6,120.14,252,457.84,174,353,179,58,10000,9942,61.66
Zuid,370,303.61,102.77,236.5,293.79,177,364,187,43,4500,4457,82.70
Centrum-Oost,456,323.87,117.24,250,358.11,175,379,204,61,6474,6413,73.90
Geuzenveld - Slotermeer,61,187.13,55.98,181,88.09,108,235,127,70,480,410,72.13
De Aker - Nieuw Sloten,34,184.06,59,142.5,132.25,104,249,145,39,640,601,55.88
Oud-Oost,266,252.03,91.87,220.5,142.43,171,300,129,57,1435,1378,84.96
Noord-West,156,194.33,54.64,180,81.6,135,250,115,53,450,397,80.13
Oud-Noord,205,358.16,112.02,198,1225.29,150,275,125,69,13978,13909,81.46
Watergraafsmeer,117,256.91,78.96,218,154.83,157,316,159,81,1081,1000,74.36
Bijlmer-Centrum,23,126.13,44.58,99,50.14,89,159,70,57,220,163,30.43
Buitenveldert - Zuidas,60,222.92,72.52,179.5,132.02,129,300,171,60,740,680,78.33
Gaasperdam - Driemond,27,130.04,53.11,113,68.96,71,170,99,35,330,295,37.04
De Pijp - Rivierenbuurt,533,280.15,104.23,249,158.36,180,338,158,72,1595,1523,85.74
Osdorp,28,179.64,61.28,161.5,82.76,108,229,121,53,357,304,75.00
Westerpark,341,261.45,95.33,222,180.73,171,298,127,49,1995,1946,84.75
